Year,GDP_Growth_Pct,Population_M,Urban_Pct,GDP_per_Capita_USD,Inflation_Pct,Coffee_Consumption_kg_per_cap,Specialty_Coffee_Pct
2020,-9.5,109.6,47.4,3299,2.6,0.45,8.2
2021,5.6,110.9,47.8,3461,3.9,0.51,9.5
2022,7.6,112.1,48.2,3626,5.8,0.58,11.0
2023,5.5,113.3,48.6,3789,6.0,0.62,12.3
2024,5.8,114.6,49.0,3960,4.5,0.67,13.8
2025,6.0,115.9,49.5,4130,4.0,0.72,15.2
2026,6.2,117.2,50.0,4310,3.8,0.78,16.5
2027,6.3,118.5,50.5,4498,3.6,0.83,18.0
2028,6.1,119.8,51.0,4665,3.5,0.88,19.3
2029,6.0,121.1,51.4,4820,3.4,0.92,20.5
